classification,caption,level_code,table_type,columns
MT,MT-02: annual rates of pay (in dollars),MT-02,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7, Step 8"
MT,MT-03: annual rates of pay (in dollars),MT-03,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
MT,MT-04: annual rates of pay (in dollars),MT-04,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7, Step 8"
MT,MT-05: annual rates of pay (in dollars),MT-05,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7, Step 8"
MT,MT-06: annual rates of pay (in dollars),MT-06,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
MT,MT-07: annual rates of pay (in dollars),MT-07,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
ND,ND-DIT-1: annual rates of pay (in dollars),ND-DIT-1,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7, Step 8, Step 9"
ND,ND-DIT-2: annual rates of pay (in dollars),ND-DIT-2,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
ND,ND-DIT-3: annual rates of pay (in dollars),ND-DIT-3,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
ND,ND-DIT-4: annual rates of pay (in dollars),ND-DIT-4,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
ND,ND-ADV-1: annual rates of pay (in dollars),ND-ADV-1,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
ND,ND-ADV-2: annual rates of pay (in dollars),ND-ADV-2,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
ND,ND-ADV-3: annual rates of pay (in dollars),ND-ADV-3,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7, Step 8"
ND,ND-HME-1: annual rates of pay (in dollars),ND-HME-1,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
ND,ND-HME-2: annual rates of pay (in dollars),ND-HME-2,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7, Step 8"
ND,ND-HME-3: annual rates of pay (in dollars),ND-HME-3,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7, Step 8"
ND,ND-HME-4: annual rates of pay (in dollars),ND-HME-4,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
NU,NU-HOS-1 / NU-CHN-1: annual rates of pay (in dollars),NU-HOS-1,STEP,"Effective date, Step 1, Step 2"
NU,NU-HOS-2 / NU-CHN-2: annual rates of pay (in dollars),NU-HOS-2,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6"
NU,NU-HOS-3 / NU-CHN-3: annual rates of pay (in dollars),NU-HOS-3,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
NU,NU-HOS-4 / NU-CHN-4: annual rates of pay (in dollars),NU-HOS-4,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7, Step 8"
NU,NU-HOS-5 / NU-CHN-5: annual rates of pay (in dollars),NU-HOS-5,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7, Step 8"
NU,NU-HOS-6 / NU-CHN-6: annual rates of pay (in dollars),NU-HOS-6,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7, Step 8"
NU,NU-HOS-7 / NU-CHN-7: annual rates of pay (in dollars),NU-HOS-7,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7, Step 8"
NU,NU-HOS-8 / NU-CHN-8: annual rates of pay (in dollars),NU-HOS-8,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7, Step 8, Step 9"
OE,OE-BEO-1 – Annual rates of pay (in dollars),OE-BEO-1,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
OE,OE-BEO-2 – Annual rates of pay (in dollars),OE-BEO-2,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5"
OE,OE-CEO-1 – Annual rates of pay (in dollars),OE-CEO-1,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
OE,OE-CEO-2 – Annual rates of pay (in dollars),OE-CEO-2,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5"
OE,OE-CEO-3 – Annual rates of pay (in dollars),OE-CEO-3,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4"
OE,OE-DEO-1 – Annual rates of pay (in dollars),OE-DEO-1,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
OE,OE-DEO-2 – Annual rates of pay (in dollars),OE-DEO-2,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5"
OE,OE-DEO-3 – Annual rates of pay (in dollars),OE-DEO-3,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4"
OE,OE-MSE-1 – Annual rates of pay (in dollars),OE-MSE-1,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
OE,OE-MSE-2 – Annual rates of pay (in dollars),OE-MSE-2,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5"
OE,OE-MEO-1 – Annual rates of pay (in dollars),OE-MEO-1,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
OE,OE-MEO-2 – Annual rates of pay (in dollars),OE-MEO-2,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5"
OE,OE-MEO-3 – Annual rates of pay (in dollars),OE-MEO-3,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4"
OE,OE-MEO-4 – Annual rates of pay (in dollars),OE-MEO-4,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4"
OE,OE-MEO-5 – Annual rates of pay (in dollars),OE-MEO-5,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4"
OP,OP-1: annual rates of pay (in dollars),OP-1,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7, Step 8"
OP,OP-2: annual rates of pay (in dollars),OP-2,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7, Step 8"
OP,OP-3: annual rates of pay (in dollars),OP-3,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7, Step 8"
PC,PC-01: annual rates of pay (in dollars),PC-01,STEP,"Effective date, Range/Step 1table PC note *, Step 2, Step 3, Step 4, Step 5, Step 6"
PC,PC-02: annual rates of pay (in dollars),PC-02,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6"
PC,PC-03: annual rates of pay (in dollars),PC-03,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6"
PC,PC-04: annual rates of pay (in dollars),PC-04,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6"
PC,PC-05: annual rates of pay (in dollars),PC-05,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5"
PG,PG-01: annual rates of pay (in dollars),PG-01,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
PG,PG-02: annual rates of pay (in dollars),PG-02,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4"
PG,PG-03: annual rates of pay (in dollars),PG-03,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4"
PG,PG-04: annual rates of pay (in dollars),PG-04,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4"
PG,PG-05: annual rates of pay (in dollars),PG-05,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4"
PG,PG-06: annual rates of pay (in dollars),PG-06,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4"
PH,PH-1: annual rates of pay (in dollars),PH-1,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6"
PH,PH-2: annual rates of pay (in dollars),PH-2,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6"
PH,PH-3: annual rates of pay (in dollars),PH-3,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6"
PI,PI-1-CGC – Steps 1 to 5,PI-1,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5"
PI,PI-1-CGC – Steps 6 to 8,PI-1,STEP,"Effective date, Step 6, Step 7, Step 8"
PI,PI-2-CGC,PI-2,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6"
PI,PI-3-CGC,PI-3,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6"
PI,PI-4-CGC,PI-4,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
PI,PI-5-CGC,PI-5,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6"
PI,PI-6-CGC,PI-6,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6"
PI,PI-7-CGC,PI-7,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6"
PM,PM – Development – Annual rates of pay (in dollars),,RANGE,"Effective date, Range"
PM,PM-1 – Annual rates of pay (in dollars),PM-1,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4"
PM,PM-2 – Annual rates of pay (in dollars),PM-2,STEP,"Effective date, Step 1, Step 2, Step 3"
PM,PM-3 – Annual rates of pay (in dollars),PM-3,STEP,"Effective date, Step 1, Step 2, Step 3"
PM,PM-4 – Annual rates of pay (in dollars),PM-4,STEP,"Effective date, Step 1, Step 2, Step 3"
PM,PM-5 – Annual rates of pay (in dollars),PM-5,STEP,"Effective date, Step 1, Step 2, Step 3"
PM,PM-6 – Annual rates of pay (in dollars),PM-6,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5"
PM,PM-7 – Annual rates of pay (in dollars),PM-7,RANGE,"Effective date, Range"
PR(S),PR(S)-1,PR(S)-1,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
PR(S),PR(S)-2,PR(S)-2,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
PR(S),PR(S)-3,PR(S)-3,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
PR(S),PR(S)-4,PR(S)-4,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
PR(S),PR(S)-5,PR(S)-5,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
PS,PS-1: annual rates of pay (in dollars),PS-1,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
PS,PS-2: annual rates of pay (in dollars),PS-2,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6"
PS,PS-3: annual rates of pay (in dollars),PS-3,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5"
PS,PS-4: annual rates of pay (in dollars),PS-4,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5"
PS,PS-5: annual rates of pay (in dollars),PS-5,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5"
PY,PY-1,PY-1,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5"
PY,PY-2,PY-2,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5"
PY,PY-3,PY-3,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5"
PY,PY-4,PY-4,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5"
PY,PY-5,PY-5,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6"
PY,PY-6,PY-6,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6"
PY,PY-7,PY-7,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6"
RAD,,,NO_HEADING,
RM,,,NO_HEADING,
RO,RO-00 - Annual Rates of Pay (in dollars),RO-00,STEP,"Effective Date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
RO,RO-01 - Annual Rates of Pay (in dollars),RO-01,STEP,"Effective Date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
RO,RO-02 - Annual Rates of Pay (in dollars),RO-02,STEP,"Effective Date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
RO,RO-03 - Annual Rates of Pay (in dollars),RO-03,STEP,"Effective Date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
RO,RO-04 - Annual Rates of Pay (in dollars),RO-04,STEP,"Effective Date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
RO,RO-04 Instructor - Annual Rates of Pay (in dollars),RO-04,STEP,"Effective Date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
RO,RO-05 - Annual Rates of Pay (in dollars),RO-05,STEP,"Effective Date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
RO,RO-06 - Annual Rates of Pay (in dollars),RO-06,STEP,"Effective Date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
SC,,,NO_HEADING,
SE,SE-RES-1: annual rates of pay (in dollars),SE-RES-1,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7, Step 8"
SE,SE-RES-2: annual rates of pay (in dollars),SE-RES-2,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7, Step 8"
SE,SE-RES-2: annual rates of pay (in dollars) (continued),SE-RES-2,STEP_CONTINUATION,"Effective date, Step 9, Step 10"
SE,SE-RES-3: annual rates of pay (in dollars),SE-RES-3,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7, Step 8"
SE,SE-RES-3: annual rates of pay (in dollars) (continued),SE-RES-3,STEP_CONTINUATION,"Effective date, Step 9, Step 10"
SE,SE-RES-4: annual rates of pay (in dollars),SE-RES-4,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7, Step 8"
SE,SE-RES-5: annual rates of pay (in dollars),SE-RES-5,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7, Step 8"
SE,SE-REM-1: annual rates of pay (in dollars),SE-REM-1,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
SE,SE-REM-1: annual rates of pay (in dollars) (continued),SE-REM-1,STEP_CONTINUATION,"Effective date, Step 8, Step 9"
SE,SE-REM-2: annual rates of pay (in dollars),SE-REM-2,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
SE,SE-REM-2: annual rates of pay (in dollars) (continued),SE-REM-2,STEP_CONTINUATION,"Effective date, Step 8, Step 9"
SG,SG-SRE-01: annual rates of pay (in dollars),SG-SRE-01,OTHER,"Effective date, Range/Step 1"
SG,SG-SRE-02: annual rates of pay (in dollars),SG-SRE-02,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6"
SG,SG-SRE-03: annual rates of pay (in dollars),SG-SRE-03,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7, Step 8"
SG,SG-SRE-04: annual rates of pay (in dollars),SG-SRE-04,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
SG,SG-SRE-05: annual rates of pay (in dollars),SG-SRE-05,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
SG,SG-SRE-06: annual rates of pay (in dollars),SG-SRE-06,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
SG,SG-SRE-07: annual rates of pay (in dollars),SG-SRE-07,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
SG,SG-SRE-08: annual rates of pay (in dollars),SG-SRE-08,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
SG-PAT,,,NO_HEADING,
SG-SRE,,,NO_HEADING,
SO,,,NO_HEADING,
SR(C),,,NO_HEADING,
SR(E),,,NO_HEADING,
SR(W),,,NO_HEADING,
ST,ST-TYP-1 – Annual rates of pay (in dollars),ST-TYP-1,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6"
ST,ST-TYP-2 – Annual rates of pay (in dollars),ST-TYP-2,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4"
ST,ST-STN-1 – Annual rates of pay (in dollars),ST-STN-1,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6"
ST,ST-STN-1 – Annual rates of pay (in dollars) (continued),ST-STN-1,STEP_CONTINUATION,"Effective date, Step 7, Step 8, Step 9"
ST,ST-STN-2 – Annual rates of pay (in dollars),ST-STN-2,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4"
ST,ST-OCE-1 – Annual rates of pay (in dollars),ST-OCE-1,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6"
ST,ST-OCE-1 – Annual rates of pay (in dollars) (continued),ST-OCE-1,STEP_CONTINUATION,"Effective date, Step 7, Step 8, Step 9, Step 10"
ST,ST-OCE-2 – Annual rates of pay (in dollars),ST-OCE-2,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4"
ST,ST-OCE-3 – Annual rates of pay (in dollars),ST-OCE-3,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4"
ST,ST-SCY-1 – Annual rates of pay (in dollars),ST-SCY-1,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6"
ST,ST-SCY-1 – Annual rates of pay (in dollars) (continued),ST-SCY-1,STEP_CONTINUATION,"Effective date, Step 7, Step 8, Step 9, Step 10, Step 11, Step 12"
ST,ST-SCY-2 – Annual rates of pay (in dollars),ST-SCY-2,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4"
ST,ST-SCY-3 – Annual rates of pay (in dollars),ST-SCY-3,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4"
ST,ST-SCY-4 – Annual rates of pay (in dollars),ST-SCY-4,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4"
ST,ST-COR-1 – Annual rates of pay (in dollars),ST-COR-1,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6"
ST,ST-COR-1 – Annual rates of pay (in dollars) (continued),ST-COR-1,STEP_CONTINUATION,"Effective date, Step 7, Step 8"
ST,ST-COR-2 – Annual rates of pay (in dollars),ST-COR-2,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6"
ST,Special Level A – Annual rates of pay (in dollars),,STEP,"Effective date, Step 1"
ST,Special Level B – Annual rates of pay (in dollars),,STEP,"Effective date, Step 1"
ST,Special Level C – Annual rates of pay (in dollars),,STEP,"Effective date, Step 1"
SW,SW-SCW-1: annual rates of pay (in dollars),SW-SCW-1,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7, Step 8, Step 9"
SW,SW-SCW-1 Clinical Social Workers: annual rates of pay (in dollars),SW-SCW-1,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7, Step 8, Step 9"
SW,SW-SCW-2: annual rates of pay (in dollars),SW-SCW-2,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7, Step 8"
SW,SW-SCW-2 Clinical Social Workers: annual rates of pay (in dollars),SW-SCW-2,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7, Step 8"
SW,SW-SCW-3: annual rates of pay (in dollars),SW-SCW-3,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7, Step 8"
SW,SW-SCW-3 Clinical Social Workers: annual rates of pay (in dollars),SW-SCW-3,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7, Step 8"
SW,SW-SCW-4: annual rates of pay (in dollars),SW-SCW-4,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7, Step 8"
SW,SW-SCW-5: annual rates of pay (in dollars),SW-SCW-5,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7, Step 8"
SW,SW-CHA-1: annual rates of pay (in dollars),SW-CHA-1,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
SW,SW-CHA-2: annual rates of pay (in dollars),SW-CHA-2,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
SW,SW-CHA-3: annual rates of pay (in dollars),SW-CHA-3,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
TI,TI-1,TI-1,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5"
TI,TI-2,TI-2,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5"
TI,TI-3,TI-3,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5"
TI,TI-4,TI-4,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5"
TI,TI-5,TI-5,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5"
TI,TI-6,TI-6,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5"
TI,TI-7,TI-7,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5"
TI,TI-8,TI-8,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5"
TR,TR-01 - Annual Rates of Pay (in dollars),TR-01,STEP,"Effective Date, Step 1, Step 2, Step 3, Step 4, Step 5"
TR,TR-02 - Annual Rates of Pay (in dollars),TR-02,STEP,"Effective Date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6"
TR,TR-02 - Annual Rates of Pay (in dollars) - continued,TR-02,STEP_CONTINUATION,"Effective Date, Step 7, Step 8"
TR,TR-03 - Annual Rates of Pay (in dollars),TR-03,STEP,"Effective Date, Step 1, Step 2, Step 3, Step 4, Step 5"
TR,TR-03 - Annual Rates of Pay (in dollars) - continued,TR-03,STEP_CONTINUATION,"Effective Date, Step 6, Step 7"
TR,TR-04 - Annual Rates of Pay (in dollars),TR-04,STEP,"Effective Date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6"
TR,TR-04 - Annual Rates of Pay (in dollars) - continued,TR-04,STEP_CONTINUATION,"Effective Date, Step 7, Step 8"
TR,TR-05 - Annual Rates of Pay (in dollars),TR-05,STEP,"Effective Date, Step 1, Step 2, Step 3, Step 4, Step 5"
UT,"UT-1: annual rates of pay (in dollars), Steps 1 to 8",UT-1,STEP,"Effective Date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7, Step 8"
UT,"UT-1: annual rates of pay (in dollars), Steps 9 to 15",UT-1,STEP_CONTINUATION,"Effective Date, Step 9, Step 10, Step 11, Step 12, Step 13, Step 14, Step 15"
UT,"UT-2: annual rates of pay (in dollars), Steps 1 to 8",UT-2,STEP,"Effective Date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7, Step 8"
UT,"UT-2: annual rates of pay (in dollars), Steps 9 to 16",UT-2,STEP_CONTINUATION,"Effective Date, Step 9, Step 10, Step 11, Step 12, Step 13, Step 14, Step 15, Step 16"
UT,"UT-3: annual rates of pay (in dollars), Steps 1 to 8",UT-3,STEP,"Effective Date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7, Step 8"
UT,"UT-3: annual rates of pay (in dollars), Steps 9 to 16",UT-3,STEP_CONTINUATION,"Effective Date, Step 9, Step 10, Step 11, Step 12, Step 13, Step 14, Step 15, Step 16"
UT,"UT-4: annual rates of pay (in dollars), Steps 1 to 10",UT-4,STEP,"Effective Date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7, Step 8, Step 9, Step 10"
UT,"UT-4: annual rates of pay (in dollars), Steps 11 to 19",UT-4,STEP,"Effective Date, Step 11, Step 12, Step 13, Step 14, Step 15, Step 16, Step 17, Step 18, Step 19"
VM,VM-1: annual rates of pay (in dollars),VM-1,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6"
VM,VM-2: annual rates of pay (in dollars),VM-2,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6"
VM,VM-3: annual rates of pay (in dollars),VM-3,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6"
VM,VM-4: annual rates of pay (in dollars),VM-4,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6"
VM,VM-5: annual rates of pay (in dollars),VM-5,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6"
WP,WP-1 – Annual rates of pay (in dollars),WP-1,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6"
WP,WP-1 – Annual rates of pay (in dollars) (continued),WP-1,STEP_CONTINUATION,"Effective date, Step 7, Step 8, Step 9, Step 10"
WP,WP-2 – Annual rates of pay (in dollars),WP-2,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6"
WP,WP-2 – Annual rates of pay (in dollars) (continued),WP-2,STEP_CONTINUATION,"Effective date, Step 7, Step 8, Step 9"
WP,WP-3 – Annual rates of pay (in dollars),WP-3,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6"
WP,WP-3 – Annual rates of pay (in dollars) (continued),WP-3,STEP_CONTINUATION,"Effective date, Step 7, Step 8"
WP,WP-4 – Annual rates of pay (in dollars),WP-4,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6"
WP,WP-4 – Annual rates of pay (in dollars) (continued),WP-4,STEP_CONTINUATION,"Effective date, Step 7, Step 8"
WP,WP-5 – Annual rates of pay (in dollars),WP-5,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
WP,WP-6 – Annual rates of pay (in dollars),WP-6,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6"
